ordered_list                                 | industry, skill, blockchain,blockchain proofs,position, algorithm, infastructure, test, process |
.net                                         | skill | 
3gpp                                         | generic | 
4gpp                                         | generic | 
acceptance test                              | test  | 
agile                                        | process | 
blockchain interoperability                  | industry |
interoperability                             | generic |
interoperable                                | generic |
remote                                       | position | 
full time                                    | position | 
fulltime                                     | position | full time 
full-time                                    | position | full time 
ai                                           | algorithm | artificial intelligence 
algorithms                                   | algorithm | 
algorithm                                    | algorithm | algorithms 
alteryx                                      | algorithm | 
amelia                                       | generic | 
aml                                          | industry | anti money laundering 
anti money laundering                        | industry | 
financial exchanges                          | industry | 
digital asset exchange                       | blockchain, industry | 
analytical                                   | generic | 
analytical and problem solving               | skill | 
laravel                                      | skill | 
analytical generics                          | algorithm | 
android                                      | skill | 
angular                                      | skill |  
angularjs                                    | skill | angular 
ansible                                      | infastructure | 
appliation architecture                      | generic | 
application apis                             | generic | 
application development                      | skill | 
artificial intelligence                      | algorithm |
asset management                             | industry | 
asset tokenization                           | industry | 
aws                                          | infastructure | 
azure                                        | infastructure | 
babel                                        | blockchain, algorithm | 
back end                                     | position | 
backend                                      | position | back end 
banking                                      | industry | 
digital banking                              | industry | 
beacon                                       | blockchain | 
beacon chain                                 | blockchain | 
big data                                     | algorithm | 
bigdata                                      | algorithm | big data 
bigchain db                                  | generic | 
bitcoin                                      | blockchain | 
stable coin                                  | blockchain | 
stablecoin                                   | blockchain | stable coin 
middleware                                   | generic |  
non custodial                                | blockchain |  
custodial                                    | blockchain |  
scarcity token                               | blockchain |  
loans                                        | generic |  
bitcoin 2.0                                  | blockchain | bitcoin 
blockchain agnostic                          | blockchain | 
blockchain architecture                      | blockchain | 
blockchain based                             | blockchain | 
blockchain developer                         | position | 
product manager                              | position | 
senior consultant                            | position | 
platform developer                           | position | 
blockchain platforms                         | blockchain | 
blockchain research                          | blockchain | 
blockchain services                          | blockchain | 
blockstack                                   | skill, blockchain | 
business development                         | position | 
business intelligence                        | position | 
loyalty programs                             | industry | 
hedge funds                                  | industry | 
hedge fund                                   | industry | hedge funds 
edtech                                       | industry |  
legal tech                                   | industry |  
cannabis                                     | industry |  
online auctions                              | industry |  
c#                                           | skill | 
c++                                          | skill | 
c++ 11                                       | skill | 
capital markets                              | industry | 
cellular network                             | industry | 
chaincode                                    | skill, blockchain | 
chef                                         | infastructure | 
ci cd                                        | infastructure, process | 
circuit design                               | skill | 
clarity                                      | skill, blockchain | 
clarity smart language                       | skill, blockchain | 
cloud                                        | infastructure | 
cloud computing                              | skill | 
cloud experience                             | skill | 
cloud services                               | infastructure | 
cognitive automation                         | algorithm | 
cognitive systems                            | algorithm | 
collaboration                                | generic | 
communication generics                       | generic | 
interoperability platform                    | algorithm, blockchain | 
interoperable  blockchain                    | algorithm, blockchain | 
staking                                      | blockchain | 
consensus                                    | algorithm, blockchain | 
consensus algorithms                         | algorithm, blockchain | 
containerization                             | infastructure | 
containers                                   | infastructure | 
continuous deployment                        | process | 
continuous integration                       | process | 
corda                                        | skill, blockchain | 
cosmos                                       | blockchain | 
cosmos sdk                                   | blockchain | cosmos 
couchdb                                      | skill | 
crawling                                     | skill | 
cross chain                                  | algorithm, blockchain | cross-chain 
cross-chain                                  | algorithm, blockchain | cross-chain
credential information                       | industry | 
crypto enthusiast                            | blockchain | 
crypto wallet                                | blockchain | 
cryptoasset                                  | blockchain | 
cryptoassets                                 | blockchain | 
cryptocurrencies                             | blockchain | 
cryptocurrency                               | blockchain | 
cryptocurrency for payments                  | blockchain | 
cryptographic principles                     | blockchain | 
cryptographic protocols                      | blockchain | 
cryptography                                 | algorithm, blockchain | 
protocol developer                           | position | 
mobile payments                              | industry | 
mobile apps                                  | industry | 
predictive analytics                         | skill, algorithm | 
crowdfunding                                 | industry | 
parachain                                    | blockchain | 
voting                                       | industry | 
backbone                                     | blockchain | 
embedded                                     | skill | 
css                                          | skill | 
cyber                                        | industry | 
cyber security                               | industry | cyber 
dao                                          | blockchain | 
dapps                                        | blockchain | 
data & analytics                             | algorithm | 
data aggragation                             | algorithm | 
data analytics                               | algorithm | 
data science                                 | algorithm | 
data structures                              | skill | 
data warehousing                             | skill | 
dataiku                                      | generic | 
datarobot                                    | algorithm | 
debugging testing generics                   | test  | 
decentralized applications                   | blockchain | dapps 
decentralised                                | blockchain | decentralized 
decentralised autonomous organisations       | blockchain |  dao
decentralised finance                        | industry | defi 
decentralised systems                        | generic | 
decentralized                                | blockchain | 
decentralized autonomous organizations       | blockchain |  dao
decentralized finance                        | industry | defi 
decentralized systems                        | generic | 
decntralized reputation systems              | generic | 
defi                                         | industry | 
deliver production                           | generic | 
design patterns                              | generic | 
developing and deploying                     | infastructure | 
devops                                       | position, infastructure | 
digital asset                                | industry | 
digital asset platform                       | industry | 
digital assets                               | industry | digital asset 
digital transofrmation                       | generic | 
disruptive                                   | generic | 
disruptive solutions                         | generic | 
