,file_name,domain,label
0,DC662A05968ED0E174D4F6FB673D9BF2_,1,monster
1,2006A2151871D462E11688297FB4D32F_,1,monster
2,C5ED3A46FF3126C95066AA75F2E304AC_,0,google
3,D367A330F9D5A9D96770D42A5189BEFE_,1,linkedin
4,BAC9E450B1E3492D7B246477E9896D11_,0,simplyhired
5,BC39B896A62C14123BCA5AACEEDD4A16_no_good,0,simplyhired
6,2274A5EE392F7F5942895278CB8FC9D0_,0,cryptocurrencyjobs
7,1B1319B89CB031EE0763D68E962E5107_,1,linkedin
8,3E90809E3D3205BBB2077105353B77E5_,1,linkedin
9,2E83B7A3D2EB6C956E3F656C4208A08D_,1,linkedin
10,E382D5E214A63231F01886E14BBDCAB6_,1,simplyhired
11,5C5B80CB0CCA3041B205988A2ACB67BB_,0,simplyhired
12,097415619258ED0A3A3419BD74A53A6C_,1,linkedin
13,BA5DCD14A9ED1935B16D797049C8003D_,1,linkedin
14,C44C395575BED43A76F5DC48C5545AF9_,1,linkedin
15,B329BE2CE39F4F53DAA2BF42E1B48326_,1,linkedin
16,3FCE5713764FC158F21D5579AF83FF8D_no_good,1,simplyhired
17,C96BEF767EC35171F7605519DE364C15_,0,google
18,3DCE42FDAC610D055CC9386A9C9EBB21_,1,monster
19,61A8F886B7D72C8485D9849FD03E54BF_,1,monster
20,00A441F4CA0BF6A06CCCDFA9B7AA8374_,0,cryptocurrencyjobs
21,7955B401CBA74CA208C18D9530182AB6_no_good,0,simplyhired
22,30AD94C13F01E533B9BF6523D875948D_,0,google
23,7C806ED3CD429A3FF97BDA8DFA095A6F_,0,google
24,9A4CAAEF3165EB971620408FDFDCECD3_no_good,0,simplyhired
25,49D9DC0B90332912F5BD3C843D66BF4E_,1,monster
26,C89368FBF74D17902689FD7BCD03FF64_,1,crypto
27,D655B282584C582072CC6994F640F00E_no_good,1,simplyhired
28,60238B33FC402155D3C4E170B2BAAED6_,1,cryptocurrencyjobs
29,9BBCF6E5042F5F0B342885752BDB4E83_no_good,0,simplyhired
30,F02BC67BDB63ABD2AB7AFAB6C370A129_,0,simplyhired
